Polymer,RDF
"[(1, 'E13'), (2, 'S4'), (3, 'S8'), (4, 'S3'), (5, 'E0'), (6, 'E20'), (7, 'S1'), (8, 'S3'), (9, 'S3'), (10, 'S1'), (11, 'S1'), (12, 'S4'), (13, 'E4'), (14, 'S13'), (15, 'S19'), (16, 'S10'), (17, 'S2')]",2.0648900127808822
"[(1, 'S4'), (2, 'S4'), (3, 'E14'), (4, 'E20'), (5, 'E20'), (6, 'S13'), (7, 'E20'), (8, 'E9'), (9, 'E20'), (10, 'E9'), (11, 'E7'), (12, 'S6'), (13, 'E4'), (14, 'S20'), (15, 'E6'), (16, 'S2'), (17, 'S6')]",2.5479957907266026
"[(1, 'E20'), (2, 'S5'), (3, 'S10'), (4, 'E0'), (5, 'S17'), (6, 'E12'), (7, 'E4'), (8, 'E20'), (9, 'S2'), (10, 'S1'), (11, 'E20'), (12, 'E7'), (13, 'S2'), (14, 'E9'), (15, 'S6'), (16, 'E6'), (17, 'S7')]",2.388407951596065
"[(1, 'E20'), (2, 'S10'), (3, 'E20'), (4, 'E1'), (5, 'S10'), (6, 'S9'), (7, 'E15'), (8, 'S6'), (9, 'S0'), (10, 'E0'), (11, 'S20'), (12, 'S20'), (13, 'E16'), (14, 'S10'), (15, 'S9'), (16, 'E0'), (17, 'E20')]",2.4483597294074713
"[(1, 'E0'), (2, 'S20'), (3, 'S13'), (4, 'S20'), (5, 'S20'), (6, 'E14'), (7, 'S1'), (8, 'S8'), (9, 'E20'), (10, 'S1'), (11, 'E20'), (12, 'E20'), (13, 'E2'), (14, 'E12'), (15, 'E3'), (16, 'E5'), (17, 'S15')]",2.308648089991024
"[(1, 'S8'), (2, 'S20'), (3, 'E8'), (4, 'S10'), (5, 'S6'), (6, 'E11'), (7, 'E10'), (8, 'S4'), (9, 'E4'), (10, 'S13'), (11, 'E20'), (12, 'E20'), (13, 'S2'), (14, 'S18'), (15, 'S8'), (16, 'S17'), (17, 'S20')]",2.2118238642183172
"[(1, 'S20'), (2, 'E7'), (3, 'S19'), (4, 'S17'), (5, 'S11'), (6, 'S11'), (7, 'S11'), (8, 'S20'), (9, 'E13'), (10, 'S7'), (11, 'S4'), (12, 'E1'), (13, 'S16'), (14, 'E20'), (15, 'S20'), (16, 'S2'), (17, 'S6')]",1.8007096784835182
"[(1, 'E6'), (2, 'E20'), (3, 'E16'), (4, 'S7'), (5, 'S7'), (6, 'S20'), (7, 'S10'), (8, 'S2'), (9, 'E20'), (10, 'S6'), (11, 'E3'), (12, 'E8'), (13, 'S2'), (14, 'S4'), (15, 'E2'), (16, 'E12'), (17, 'S4')]",2.243959894614761
"[(1, 'E7'), (2, 'E14'), (3, 'S16'), (4, 'E17'), (5, 'E14'), (6, 'E20'), (7, 'S16'), (8, 'E7'), (9, 'E11'), (10, 'E14'), (11, 'S9'), (12, 'S20'), (13, 'S18'), (14, 'E20'), (15, 'E1'), (16, 'S1'), (17, 'E5')]",2.473379360334576
"[(1, 'S9'), (2, 'E20'), (3, 'S14'), (4, 'E7'), (5, 'S8'), (6, 'E13'), (7, 'E20'), (8, 'E13'), (9, 'S20'), (10, 'S16'), (11, 'E20'), (12, 'E2'), (13, 'S15'), (14, 'E20'), (15, 'S17'), (16, 'E16'), (17, 'E18')]",2.7683739515212267
"[(1, 'S20'), (2, 'E16'), (3, 'E20'), (4, 'E20'), (5, 'E8'), (6, 'E0'), (7, 'E17'), (8, 'E20'), (9, 'S5'), (10, 'E7'), (11, 'S4'), (12, 'S18'), (13, 'E20'), (14, 'E20'), (15, 'E12'), (16, 'S20'), (17, 'E2')]",2.7718322737808876
"[(1, 'E19'), (2, 'S18'), (3, 'E16'), (4, 'S3'), (5, 'E3'), (6, 'S20'), (7, 'S19'), (8, 'E3'), (9, 'E7'), (10, 'E14'), (11, 'S10'), (12, 'S5'), (13, 'S20'), (14, 'S9'), (15, 'S18'), (16, 'E11'), (17, 'E9')]",2.1730443645466977
"[(1, 'S11'), (2, 'E0'), (3, 'S8'), (4, 'S17'), (5, 'S6'), (6, 'E1'), (7, 'S20'), (8, 'S20'), (9, 'E18'), (10, 'S19'), (11, 'S10'), (12, 'E3'), (13, 'S7'), (14, 'E9'), (15, 'S20'), (16, 'E2'), (17, 'E4')]",1.7670683743816915
"[(1, 'S20'), (2, 'S11'), (3, 'S13'), (4, 'E4'), (5, 'S20'), (6, 'S18'), (7, 'E2'), (8, 'S8'), (9, 'E7'), (10, 'S8'), (11, 'E12'), (12, 'E9'), (13, 'S7'), (14, 'S10'), (15, 'E7'), (16, 'E4'), (17, 'S11')]",1.831562687218577
"[(1, 'S10'), (2, 'S20'), (3, 'S18'), (4, 'S16'), (5, 'S5'), (6, 'S20'), (7, 'S15'), (8, 'S2'), (9, 'E10'), (10, 'E1'), (11, 'E17'), (12, 'E7'), (13, 'S12'), (14, 'S16'), (15, 'S13'), (16, 'S8'), (17, 'S18')]",1.9396670274734689
"[(1, 'S6'), (2, 'S5'), (3, 'S15'), (4, 'S1'), (5, 'S14'), (6, 'E0'), (7, 'E0'), (8, 'S4'), (9, 'E18'), (10, 'S8'), (11, 'E14'), (12, 'E11'), (13, 'S20'), (14, 'E4'), (15, 'S20'), (16, 'S20'), (17, 'E11')]",2.12795819098438
"[(1, 'S13'), (2, 'E17'), (3, 'S20'), (4, 'S10'), (5, 'E20'), (6, 'E15'), (7, 'E2'), (8, 'S5'), (9, 'S20'), (10, 'E4'), (11, 'E4'), (12, 'E16'), (13, 'S1'), (14, 'S12'), (15, 'S20'), (16, 'E20'), (17, 'S9')]",2.3417299807757956
"[(1, 'E3'), (2, 'S5'), (3, 'S2'), (4, 'S2'), (5, 'E2'), (6, 'E4'), (7, 'E5'), (8, 'S20'), (9, 'S3'), (10, 'E20'), (11, 'E20'), (12, 'S2'), (13, 'S12'), (14, 'S15'), (15, 'S20'), (16, 'S5'), (17, 'S4')]",2.0711588930091622
"[(1, 'E6'), (2, 'S1'), (3, 'E7'), (4, 'S20'), (5, 'S7'), (6, 'E14'), (7, 'S8'), (8, 'S20'), (9, 'E12'), (10, 'S5'), (11, 'E0'), (12, 'E11'), (13, 'S9'), (14, 'E13'), (15, 'S11'), (16, 'S8'), (17, 'E9')]",2.106431328402067
"[(1, 'S20'), (2, 'E17'), (3, 'S6'), (4, 'S20'), (5, 'S14'), (6, 'E11'), (7, 'S9'), (8, 'S13'), (9, 'E8'), (10, 'E1'), (11, 'E4'), (12, 'S8'), (13, 'S17'), (14, 'E14'), (15, 'S20'), (16, 'E5'), (17, 'E5')]",1.9951559510890675
"[(1, 'S20'), (2, 'E0'), (3, 'E4'), (4, 'S4'), (5, 'S20'), (6, 'S0'), (7, 'E11'), (8, 'S7'), (9, 'E9'), (10, 'S3'), (11, 'E15'), (12, 'S18'), (13, 'S20'), (14, 'S3'), (15, 'S12'), (16, 'S20'), (17, 'S20')]",1.9358339867919447
"[(1, 'E9'), (2, 'S7'), (3, 'S12'), (4, 'S20'), (5, 'S20'), (6, 'S10'), (7, 'E1'), (8, 'S15'), (9, 'E2'), (10, 'E7'), (11, 'S3'), (12, 'S20'), (13, 'S13'), (14, 'E8'), (15, 'S1'), (16, 'S10'), (17, 'E2')]",1.5811390095278597
"[(1, 'E2'), (2, 'S3'), (3, 'S12'), (4, 'S17'), (5, 'E3'), (6, 'S4'), (7, 'E10'), (8, 'S13'), (9, 'E20'), (10, 'E2'), (11, 'S7'), (12, 'S4'), (13, 'S20'), (14, 'E15'), (15, 'S14'), (16, 'E12'), (17, 'S2')]",2.0753556228965593
"[(1, 'S13'), (2, 'S20'), (3, 'S13'), (4, 'S0'), (5, 'S17'), (6, 'S6'), (7, 'S8'), (8, 'S6'), (9, 'E8'), (10, 'E20'), (11, 'E10'), (12, 'E16'), (13, 'S9'), (14, 'E1'), (15, 'S2'), (16, 'S20'), (17, 'S20')]",2.1914936230553366
"[(1, 'S4'), (2, 'S20'), (3, 'S17'), (4, 'S20'), (5, 'S0'), (6, 'S11'), (7, 'S20'), (8, 'S16'), (9, 'E6'), (10, 'E8'), (11, 'S4'), (12, 'E15'), (13, 'S20'), (14, 'E11'), (15, 'E20'), (16, 'E6'), (17, 'S2')]",2.208094824838895
"[(1, 'S20'), (2, 'S18'), (3, 'S8'), (4, 'S20'), (5, 'S11'), (6, 'S17'), (7, 'S8'), (8, 'S8'), (9, 'E20'), (10, 'S14'), (11, 'S8'), (12, 'E4'), (13, 'S20'), (14, 'S20'), (15, 'S10'), (16, 'E15'), (17, 'E19')]",2.12893089667849
"[(1, 'S7'), (2, 'S15'), (3, 'E6'), (4, 'E4'), (5, 'S18'), (6, 'S12'), (7, 'S20'), (8, 'S6'), (9, 'E2'), (10, 'S10'), (11, 'S6'), (12, 'S10'), (13, 'S5'), (14, 'E9'), (15, 'S7'), (16, 'S8'), (17, 'S9')]",1.1177746064080907
"[(1, 'S2'), (2, 'S20'), (3, 'E9'), (4, 'S3'), (5, 'S20'), (6, 'S4'), (7, 'S4'), (8, 'E3'), (9, 'E16'), (10, 'E10'), (11, 'S4'), (12, 'E2'), (13, 'S1'), (14, 'S13'), (15, 'S13'), (16, 'E11'), (17, 'E3')]",1.9578188044159184
"[(1, 'S15'), (2, 'S9'), (3, 'E12'), (4, 'E4'), (5, 'S20'), (6, 'S19'), (7, 'E4'), (8, 'S13'), (9, 'S4'), (10, 'S2'), (11, 'S5'), (12, 'E2'), (13, 'S15'), (14, 'S5'), (15, 'E2'), (16, 'S20'), (17, 'S3')]",1.110102800202725
