Polymer,RDF
"[(1, 'S10'), (2, 'S20'), (3, 'E20'), (4, 'S5'), (5, 'E2'), (6, 'E1'), (7, 'S8'), (8, 'S3'), (9, 'S10'), (10, 'S2'), (11, 'S2')]",1.9901276797691132
"[(1, 'S8'), (2, 'E3'), (3, 'S20'), (4, 'S16'), (5, 'E11'), (6, 'E20'), (7, 'E15'), (8, 'S20'), (9, 'S18'), (10, 'S16'), (11, 'S4')]",2.162355145971347
"[(1, 'S20'), (2, 'E9'), (3, 'S19'), (4, 'S5'), (5, 'S0'), (6, 'S1'), (7, 'E2'), (8, 'E20'), (9, 'E17'), (10, 'S4'), (11, 'S4')]",2.1590277188351834
"[(1, 'S4'), (2, 'E20'), (3, 'E4'), (4, 'E4'), (5, 'E5'), (6, 'S9'), (7, 'S2'), (8, 'E9'), (9, 'E17'), (10, 'S7'), (11, 'S9')]",2.098456396647549
"[(1, 'E20'), (2, 'S10'), (3, 'E4'), (4, 'S2'), (5, 'E3'), (6, 'E14'), (7, 'E8'), (8, 'S3'), (9, 'E7'), (10, 'S20'), (11, 'E1')]",2.015385797277169
"[(1, 'E11'), (2, 'S14'), (3, 'E15'), (4, 'E1'), (5, 'E9'), (6, 'S7'), (7, 'S4'), (8, 'E13'), (9, 'E20'), (10, 'E4'), (11, 'S10')]",2.205358705992275
"[(1, 'S20'), (2, 'E0'), (3, 'S3'), (4, 'S12'), (5, 'S10'), (6, 'E1'), (7, 'E8'), (8, 'S6'), (9, 'S6'), (10, 'S7'), (11, 'S12')]",1.8551363183903113
"[(1, 'E2'), (2, 'E4'), (3, 'E9'), (4, 'S20'), (5, 'E4'), (6, 'S4'), (7, 'E6'), (8, 'S20'), (9, 'S4'), (10, 'S7'), (11, 'S2')]",1.8620996268432695
"[(1, 'S5'), (2, 'S5'), (3, 'S13'), (4, 'E3'), (5, 'E10'), (6, 'S20'), (7, 'E3'), (8, 'S16'), (9, 'S20'), (10, 'S20'), (11, 'E20')]",2.0120722617781546
"[(1, 'S18'), (2, 'E20'), (3, 'S6'), (4, 'S14'), (5, 'S0'), (6, 'S20'), (7, 'E14'), (8, 'S8'), (9, 'E15'), (10, 'E15'), (11, 'S1')]",2.296875970592886
"[(1, 'S5'), (2, 'E12'), (3, 'S9'), (4, 'S10'), (5, 'E13'), (6, 'S18'), (7, 'S6'), (8, 'S20'), (9, 'S20'), (10, 'E4'), (11, 'E20')]",2.1093321739262194
"[(1, 'S20'), (2, 'E1'), (3, 'S20'), (4, 'S10'), (5, 'S3'), (6, 'E1'), (7, 'E13'), (8, 'S20'), (9, 'E17'), (10, 'S20'), (11, 'E2')]",1.9652784195025035
"[(1, 'S13'), (2, 'E16'), (3, 'E4'), (4, 'S14'), (5, 'S16'), (6, 'S3'), (7, 'E20'), (8, 'S17'), (9, 'S17'), (10, 'S2'), (11, 'S1')]",2.0906904054657502
"[(1, 'S20'), (2, 'E8'), (3, 'E16'), (4, 'S7'), (5, 'E1'), (6, 'E15'), (7, 'S20'), (8, 'S20'), (9, 'S17'), (10, 'S10'), (11, 'E2')]",1.996597915962635
"[(1, 'S16'), (2, 'S18'), (3, 'E4'), (4, 'S11'), (5, 'E1'), (6, 'S4'), (7, 'E3'), (8, 'S18'), (9, 'E2'), (10, 'S20'), (11, 'S10')]",1.1274725539814767
"[(1, 'S20'), (2, 'S6'), (3, 'S3'), (4, 'E2'), (5, 'S20'), (6, 'S13'), (7, 'E20'), (8, 'S20'), (9, 'S4'), (10, 'S20'), (11, 'S20')]",1.8266930740815797
"[(1, 'S16'), (2, 'E12'), (3, 'E2'), (4, 'E14'), (5, 'E7'), (6, 'E1'), (7, 'E20'), (8, 'S17'), (9, 'S1'), (10, 'S7'), (11, 'S15')]",2.1204732345760107
"[(1, 'S20'), (2, 'E18'), (3, 'E4'), (4, 'S10'), (5, 'S1'), (6, 'S2'), (7, 'S9'), (8, 'S20'), (9, 'S2'), (10, 'S7'), (11, 'E20')]",2.124870851444392
"[(1, 'S20'), (2, 'S8'), (3, 'E1'), (4, 'S5'), (5, 'E20'), (6, 'S20'), (7, 'E6'), (8, 'S6'), (9, 'E7'), (10, 'S3'), (11, 'S9')]",1.972670096559213
"[(1, 'S13'), (2, 'E19'), (3, 'E19'), (4, 'S7'), (5, 'E15'), (6, 'E7'), (7, 'E14'), (8, 'E5'), (9, 'E1'), (10, 'S20'), (11, 'S4')]",2.2716511186233816
"[(1, 'S20'), (2, 'S17'), (3, 'E4'), (4, 'S20'), (5, 'E0'), (6, 'E15'), (7, 'S4'), (8, 'E8'), (9, 'S15'), (10, 'S2'), (11, 'E14')]",2.025396702897247
"[(1, 'S3'), (2, 'E20'), (3, 'S20'), (4, 'S0'), (5, 'S14'), (6, 'S18'), (7, 'E20'), (8, 'S14'), (9, 'S18'), (10, 'S1'), (11, 'S5')]",2.175177887137849
"[(1, 'S9'), (2, 'S19'), (3, 'S7'), (4, 'S8'), (5, 'E16'), (6, 'S11'), (7, 'E5'), (8, 'S20'), (9, 'E11'), (10, 'S20'), (11, 'E0')]",1.9845324064816587
"[(1, 'S20'), (2, 'S8'), (3, 'S16'), (4, 'E9'), (5, 'E6'), (6, 'E15'), (7, 'S4'), (8, 'S20'), (9, 'E1'), (10, 'S20'), (11, 'S13')]",1.9450133671513363
"[(1, 'S20'), (2, 'S8'), (3, 'S20'), (4, 'S20'), (5, 'S8'), (6, 'S1'), (7, 'E20'), (8, 'S12'), (9, 'E20'), (10, 'S2'), (11, 'S20')]",2.1672432233420054
"[(1, 'S20'), (2, 'E4'), (3, 'S20'), (4, 'S20'), (5, 'E10'), (6, 'S9'), (7, 'E20'), (8, 'S20'), (9, 'S5'), (10, 'S14'), (11, 'S17')]",1.9834758011210418
