Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E0'), (2, 'E0'), (3, 'E0'), (4, 'S6'), (5, 'S5'), (6, 'E7'), (7, 'S1'), (8, 'S6'), (9, 'E7'), (10, 'S9'), (11, 'S5'), (12, 'E8'), (13, 'S9'), (14, 'E4')]",13981.61296,17.09899024,1.893721673
"[(1, 'E0'), (2, 'E1'), (3, 'S9'), (4, 'E3'), (5, 'S6'), (6, 'S9'), (7, 'E9'), (8, 'S0'), (9, 'S5'), (10, 'S6'), (11, 'E3'), (12, 'S3'), (13, 'S1'), (14, 'S3'), (15, 'S7'), (16, 'S3'), (17, 'E6'), (18, 'E1'), (19, 'S5'), (20, 'S6')]",16549.26751,19.69755332,1.297714952
"[(1, 'E0'), (2, 'E3'), (3, 'S6'), (4, 'S4'), (5, 'S3'), (6, 'E7'), (7, 'S7'), (8, 'S3'), (9, 'E3'), (10, 'E1'), (11, 'E5'), (12, 'S7')]",11065.06639,15.96340376,1.759845605
"[(1, 'E0'), (2, 'E5'), (3, 'S3'), (4, 'E5'), (5, 'S7'), (6, 'E2'), (7, 'S7'), (8, 'S7'), (9, 'E0'), (10, 'E3'), (11, 'S7'), (12, 'S6'), (13, 'E4'), (14, 'E5'), (15, 'E3')]",13501.51664,17.28960238,1.765046594
"[(1, 'E0'), (2, 'E5'), (3, 'S3'), (4, 'S6'), (5, 'S1'), (6, 'S7'), (7, 'S4'), (8, 'E3'), (9, 'S8'), (10, 'S9'), (11, 'S9'), (12, 'E6'), (13, 'S2'), (14, 'S0'), (15, 'S1'), (16, 'E0')]",13769.16554,17.39508193,1.389926357
"[(1, 'E0'), (2, 'E6'), (3, 'E4'), (4, 'S6'), (5, 'E9'), (6, 'E1'), (7, 'E6'), (8, 'S4'), (9, 'S8'), (10, 'S3'), (11, 'E8'), (12, 'S9'), (13, 'E3'), (14, 'E5'), (15, 'S2')]",13460.57294,16.72274798,1.881809252
"[(1, 'E0'), (2, 'E7'), (3, 'E5'), (4, 'S5'), (5, 'E0'), (6, 'E8'), (7, 'S9'), (8, 'S8'), (9, 'S2'), (10, 'E2'), (11, 'E8'), (12, 'E3'), (13, 'E6'), (14, 'S5'), (15, 'S7'), (16, 'S7'), (17, 'E2'), (18, 'E6')]",16259.11427,18.50465474,1.807806433
"[(1, 'E0'), (2, 'E7'), (3, 'S8'), (4, 'S0'), (5, 'S0'), (6, 'S8'), (7, 'S1'), (8, 'S7'), (9, 'E7'), (10, 'E1'), (11, 'E3'), (12, 'E2'), (13, 'S5'), (14, 'E2'), (15, 'S3'), (16, 'E5'), (17, 'S9'), (18, 'S4'), (19, 'S9'), (20, 'S7')]",16903.5428,20.21940571,1.802153251
"[(1, 'E0'), (2, 'E9'), (3, 'S1'), (4, 'S4'), (5, 'E6'), (6, 'S6'), (7, 'E0'), (8, 'S5'), (9, 'S8'), (10, 'S9'), (11, 'S5'), (12, 'S1'), (13, 'S5'), (14, 'E3'), (15, 'E4'), (16, 'E9'), (17, 'E8'), (18, 'E9'), (19, 'E4')]",14835.34688,18.60285301,1.922570535
"[(1, 'E0'), (2, 'E9'), (3, 'S9'), (4, 'S1'), (5, 'S9'), (6, 'S6'), (7, 'S1'), (8, 'E9'), (9, 'E6'), (10, 'S9'), (11, 'S5'), (12, 'E1'), (13, 'E3'), (14, 'S6'), (15, 'S6')]",15129.68,18.59,1.83
"[(1, 'E0'), (2, 'S0'), (3, 'E1'), (4, 'S1'), (5, 'S3'), (6, 'S9'), (7, 'E6'), (8, 'E0'), (9, 'E6'), (10, 'S7'), (11, 'E8'), (12, 'S5'), (13, 'E8'), (14, 'S5')]",11491.77,17.12,1.87
